resolution,highs_version,solve_time,solve_memory
1,1.1.2.dev3,,
2,1.1.2.dev3,,
3,1.1.2.dev3,,
4,1.1.2.dev3,,
5,1.1.2.dev3,,
1,1.5.0.dev0,,
2,1.5.0.dev0,,
3,1.5.0.dev0,,
4,1.5.0.dev0,,
5,1.5.0.dev0,,
1,1.7.1,188.74832808971405,448.82739200000003
2,1.7.1,49.16427457332611,246.188032
3,1.7.1,9.926782250404358,167.54688
4,1.7.1,2.981864809989929,127.137792
5,1.7.1,0.4679596424102783,119.414784
1,1.13.0,183.77282416820526,472.76646400000004
2,1.13.0,47.404154658317566,236.06476800000002
3,1.13.0,9.556763887405396,168.075264
4,1.13.0,2.894453763961792,130.36543999999998
5,1.13.0,0.4731341600418091,118.945792
1,1.7.2,188.76168155670166,455.436288
2,1.7.2,48.9913991689682,242.540544
3,1.7.2,9.8561190366745,170.04134399999998
4,1.7.2,2.957924485206604,130.162688
5,1.7.2,0.45955801010131836,122.21235200000001
1,1.9.0,191.6320298910141,480.30310399999996
2,1.9.0,49.75780701637268,236.900352
3,1.9.0,10.076879978179932,170.930176
4,1.9.0,3.0765377283096313,133.894144
5,1.9.0,0.49259197711944575,120.34048
1,1.5.2,,
2,1.5.2,,
3,1.5.2,,
4,1.5.2,,
5,1.5.2,,
1,1.10.0,188.1017106771469,479.85254399999997
2,1.10.0,49.096840262413025,233.437184
3,1.10.0,9.995176911354065,169.05216000000001
4,1.10.0,3.020008683204651,130.424832
5,1.10.0,0.49889516830444336,117.090304
1,1.11.0,187.17141568660736,479.97132799999997
2,1.11.0,48.95566022396088,227.436544
3,1.11.0,9.972631335258484,167.729152
4,1.11.0,3.006737470626831,131.729408
5,1.11.0,0.4958634376525879,121.42387199999999
1,1.13.1,184.06536483764646,481.871872
2,1.13.1,47.312496185302734,238.76198399999998
3,1.13.1,9.543472409248352,169.404416
4,1.13.1,2.8863734006881714,127.315968
5,1.13.1,0.4704363346099853,114.10432
1,1.8.1,188.05355215072632,488.235008
2,1.8.1,49.048598527908325,237.30176
3,1.8.1,9.96771776676178,170.27072
4,1.8.1,3.027551770210266,130.9184
5,1.8.1,0.4895601272583008,121.802752
1,1.14.0,183.78574240207672,492.71808
2,1.14.0,47.27377510070801,237.551616
3,1.14.0,9.585049748420715,168.521728
4,1.14.0,2.901736617088318,129.28614399999998
5,1.14.0,0.47090244293212885,118.82700799999999
1,1.12.0,182.70991551876068,470.736896
2,1.12.0,47.03376507759094,207.17568
3,1.12.0,9.56650173664093,170.399744
4,1.12.0,2.8931593894958496,131.504128
5,1.12.0,0.4689188003540039,119.15263999999999
1,1.7.1.dev1,186.80366599559784,453.193728
2,1.7.1.dev1,48.46094727516174,251.47392000000002
3,1.7.1.dev1,9.761748313903809,171.853824
4,1.7.1.dev1,2.925785541534424,132.200448
5,1.7.1.dev1,0.46206867694854736,114.06131199999999
1,1.8.0,189.20433163642883,494.63500799999997
2,1.8.0,49.20815455913544,205.524992
3,1.8.0,10.055060625076294,169.39827200000002
4,1.8.0,3.0409575700759888,132.880384
5,1.8.0,0.4954414367675781,120.049664
1,1.5.3,188.76490533351898,424.71424
2,1.5.3,49.286441683769226,246.226944
3,1.5.3,9.878207802772522,171.145216
4,1.5.3,2.9567657709121704,127.33030400000001
5,1.5.3,0.446353554725647,116.946944
